dname,總甜度,熱品/冷品,主要成分, 次要成分
仙草凍奶茶(L),3,熱/冷,奶茶,仙草凍
仙草凍奶茶(XL),3,熱/冷,奶茶,仙草凍
仙草甘茶(L),1,熱/冷,茶類,仙草茶
仙草甘茶(XL),1,熱/冷,茶類,仙草茶
仙草蜜(L),3,冷,仙草茶,蜂蜜
仙草蜜(XL),3,冷,仙草茶,蜂蜜
仙草鮮奶凍(L),2,熱/冷,鮮奶茶,仙草凍
仙草鮮奶凍(XL),2,熱/冷,鮮奶茶,仙草凍
冬瓜仙草茶(L),2,熱/冷,冬瓜茶,仙草茶
冬瓜仙草茶(XL),2,熱/冷,冬瓜茶,仙草茶
冬瓜檸檬(L),2,冷,冬瓜茶,檸檬茶
冬瓜檸檬(XL),2,冷,冬瓜茶,檸檬茶
冬瓜茶(L),2,熱/冷,茶類,冬瓜茶
冬瓜茶(XL),2,熱/冷,茶類,冬瓜茶
冬瓜調茶(L),2,熱/冷,冬瓜茶,茶類
冬瓜調茶(XL),2,熱/冷,冬瓜茶,茶類
咖啡凍奶茶(L),3,熱/冷,奶茶,咖啡凍
咖啡凍奶茶(XL),3,熱/冷,奶茶,咖啡凍
奶香青茶(L),2,熱/冷,青茶,鮮奶茶
奶香青茶(XL),2,熱/冷,青茶,鮮奶茶
巧克力奶茶(L),3,熱/冷,奶茶,巧克力
巧克力奶茶(XL),3,熱/冷,奶茶,巧克力
布丁奶茶(L),3,熱/冷,奶茶,布丁
布丁奶茶(XL),3,熱/冷,奶茶,布丁
布丁鮮奶凍(L),3,熱/冷,鮮奶茶,布丁
布丁鮮奶凍(XL),3,熱/冷,鮮奶茶,布丁
摩卡咖啡(L),2,熱/冷,咖啡,鮮奶巧克力
摩卡咖啡(XL),2,熱/冷,咖啡,鮮奶巧克力
柳橙調茶(L),2,冷,柳橙汁,茶類
柳橙調茶(XL),3,冷,柳橙汁,茶類
桂圓奶(L),2,熱,奶茶,桂圓
桂圓奶(XL),2,熱,奶茶,桂圓
桂圓茶(L),1,熱,茶類,桂圓
桂圓茶(XL),1,熱,茶類,桂圓
梅子調茶(L),2,熱/冷,茶類,梅子汁
梅子調茶(XL),2,熱/冷,茶類,梅子汁
椰果奶茶(L),3,熱/冷,奶茶,椰果
椰果奶茶(XL),3,熱/冷,奶茶,椰果
榛果咖啡(L),2,熱/冷,咖啡,榛果
榛果咖啡(XL),2,熱/冷,咖啡,榛果
榛果奶茶(L),3,熱/冷,奶茶,榛果
榛果奶茶(XL),3,熱/冷,奶茶,榛果
榛果巧克力(L),3,熱/冷,巧克力乳,榛果
榛果巧克力(XL),3,熱/冷,巧克力乳,榛果
檸檬多多(L),2,冷,檸檬汁,養樂多
檸檬多多(XL),2,冷,檸檬汁,養樂多
檸檬蘆薈(L),1,冷,檸檬汁,蘆薈汁
檸檬蘆薈(XL),1,冷,檸檬汁,蘆薈汁
檸檬調茶(L),1,冷,檸檬汁,茶類
檸檬調茶(XL),1,冷,檸檬汁,茶類
檸檬鮮果汁(L),1,冷,檸檬汁,檸檬
檸檬鮮果汁(XL),1,冷,檸檬汁,檸檬
海尼根綠茶(L),1,冷,綠茶,海尼根
海尼根綠茶(XL),1,冷,綠茶,海尼根
焦糖咖啡(L),3,熱/冷,咖啡,焦糖
焦糖咖啡(XL),3,熱/冷,咖啡,焦糖
焦糖奶茶(L),3,熱/冷,奶茶,焦糖
焦糖奶茶(XL),3,熱/冷,奶茶,焦糖
焦糖巧克力(L),3,熱/冷,巧克力乳,焦糖
焦糖巧克力(XL),3,熱/冷,巧克力乳,焦糖
特調咖啡(L),2,熱/冷,咖啡,砂糖奶精
特調咖啡(XL),2,熱/冷,咖啡,砂糖奶精
珍珠奶茶(L),3,熱/冷,奶茶,珍珠
珍珠奶茶(XL),3,熱/冷,奶茶,珍珠
珍珠蜜(L),3,冷,蜜汁,珍珠
珍珠蜜(XL),3,冷,蜜汁,珍珠
百香QQ(L),3,冷,百香果汁,珍珠+椰果
百香QQ(XL),3,冷,百香果汁,珍珠+椰果
百香多多(L),2,冷,百香果汁,養樂多
百香多多(XL),2,冷,百香果汁,養樂多
百香調茶(L),1,冷,百香果汁,茶類
百香調茶(XL),1,冷,百香果汁,茶類
百香鮮果汁(L),1,冷,百香水果汁,百香果
百香鮮果汁(XL),1,冷,百香水果汁,百香果
碳焙烏龍奶(L),3,熱/冷,烏龍茶,鮮奶茶
碳焙烏龍奶(XL),3,熱/冷,烏龍茶,鮮奶茶
碳焙烏龍綠(L),1,熱/冷,烏龍茶,綠茶
碳焙烏龍綠(XL),1,熱/冷,烏龍茶,綠茶
綠茶多多(L),2,冷,綠茶,養樂多
綠茶多多(XL),2,冷,綠茶,養樂多
芋香奶茶(L),3,熱/冷,奶茶,芋頭
芋香奶茶(XL),3,熱/冷,奶茶,芋頭
茉香奶綠(L),2,熱/冷,茉莉花綠茶,鮮奶茶
茉香奶綠(XL),2,熱/冷,茉莉花綠茶,鮮奶茶
茉香綠茶(L),1,熱/冷,茉莉花茶,綠茶
茉香綠茶(XL),1,熱/冷,茉莉花茶,綠茶
草莓QQ(L),2,冷,草莓汁,珍珠+椰果
草莓QQ(XL),2,冷,草莓汁,珍珠+椰果
草莓奶茶(L),3,熱/冷,奶茶,草莓
草莓奶茶(XL),3,熱/冷,奶茶,草莓
草莓歐蕾(L),3,熱/冷,鮮奶茶,草莓
草莓歐蕾(XL),3,熱/冷,鮮奶茶,草莓
草莓調茶(L),2,冷,茶類,草莓
草莓調茶(XL),2,冷,茶類,草莓
荔枝蘆薈(L),1,冷,蘆薈汁,荔枝調汁
荔枝蘆薈(XL),1,冷,蘆薈汁,荔枝調汁
荔枝調茶(L),2,冷,茶類,荔枝調汁
荔枝調茶(XL),2,冷,茶類,荔枝調汁
葡萄柚多多(L),2,冷,葡萄柚汁,養樂多
葡萄柚多多(XL),2,冷,葡萄柚汁,養樂多
蔓越莓汁(L),1,熱/冷,蔓越莓汁,蔓越莓
蔓越莓汁(XL),1,熱/冷,蔓越莓汁,蔓越莓
蔓越莓調茶(L),1,熱/冷,茶類,蔓越莓汁
蔓越莓調茶(XL),1,熱/冷,茶類,蔓越莓汁
薄荷奶綠(L),2,熱/冷,奶綠茶,薄荷茶葉
薄荷奶綠(XL),2,熱/冷,奶綠茶,薄荷茶葉
薄荷巧克力(L),3,熱/冷,巧克力乳,薄荷茶葉
薄荷巧克力(XL),3,熱/冷,巧克力乳,薄荷茶葉
薄荷檸檬蘆薈(L),1,熱/冷,檸檬蘆薈汁,薄荷茶葉
薄荷檸檬蘆薈(XL),1,熱/冷,檸檬蘆薈汁,薄荷茶葉
薄荷調茶(L),1,熱/冷,茶類,薄荷茶葉
薄荷調茶(XL),1,熱/冷,茶類,薄荷茶葉
薑母奶(L),2,熱,奶茶,薑汁
薑母奶(XL),2,熱,奶茶,薑汁
薑母桂圓奶(L),2,熱,奶茶,桂圓薑汁
薑母桂圓奶(XL),2,熱,奶茶,桂圓薑汁
薑母桂圓茶(L),1,熱,茶類,桂圓薑汁
薑母桂圓茶(XL),1,熱,茶類,桂圓薑汁
薑母茶(L),1,熱,茶類,薑汁
薑母茶(XL),1,熱,茶類,薑汁
蜂蜜奶綠(L),3,熱/冷,奶綠茶,蜂蜜
蜂蜜奶綠(XL),3,熱/冷,奶綠茶,蜂蜜
蜂蜜檸檬(L),2,熱/冷,檸檬汁,蜂蜜
蜂蜜檸檬(XL),2,熱/冷,檸檬汁,蜂蜜
蜂蜜檸檬蘆薈(L),2,熱/冷,檸檬蘆薈汁,蜂蜜
蜂蜜檸檬蘆薈(XL),2,熱/冷,檸檬蘆薈汁,蜂蜜
蜂蜜蘆薈(L),1,熱/冷,蘆薈汁,蜂蜜
蜂蜜蘆薈(XL),1,熱/冷,蘆薈汁,蜂蜜
蜂蜜調茶(L),2,熱/冷,茶類,蜂蜜
蜂蜜調茶(XL),2,熱/冷,茶類,蜂蜜
蜜茶(L),2,熱/冷,蜜汁,蜂蜜
蜜茶(XL),2,熱/冷,蜜汁,蜂蜜
話梅桔茶(L),1,冷,梅子汁,金桔
話梅桔茶(XL),1,冷,梅子汁,金桔
話梅檸檬(L),1,冷,檸檬汁,梅子汁
話梅檸檬(XL),1,冷,檸檬汁,梅子汁
金桔檸檬(L),1,冷,檸檬汁,金桔
金桔檸檬(XL),1,冷,檸檬汁,金桔
阿薩姆奶茶(L),3,熱/冷,茶類,奶茶
阿薩姆奶茶(XL),3,熱/冷,茶類,奶茶
阿薩姆紅茶(L),1,熱/冷,茶類,紅茶
阿薩姆紅茶(XL),1,熱/冷,茶類,紅茶
香草咖啡(L),2,熱/冷,咖啡,香草
香草咖啡(XL),2,熱/冷,咖啡,香草
香草奶茶(L),3,熱/冷,奶茶,香草
香草奶茶(XL),3,熱/冷,奶茶,香草
香草巧克力(L),1,熱/冷,巧克力乳,香草
香草巧克力(XL),1,熱/冷,巧克力乳,香草
高山青茶(L),1,熱/冷,茶類,青茶
高山青茶(XL),1,熱/冷,茶類,青茶
鮮奶冬瓜(L),2,熱/冷,冬瓜茶,鮮奶
鮮奶冬瓜(XL),2,熱/冷,冬瓜茶,鮮奶
鮮奶烏龍(L),2,熱/冷,烏龍茶,鮮奶
鮮奶烏龍(XL),2,熱/冷,烏龍茶,鮮奶
鮮奶紅茶(L),2,熱/冷,紅茶,鮮奶
鮮奶紅茶(XL),2,熱/冷,紅茶,鮮奶
鮮奶綠茶(L),2,熱/冷,綠茶,鮮奶
鮮奶綠茶(XL),2,熱/冷,綠茶,鮮奶
鮮奶青茶(L),2,熱/冷,青茶,鮮奶
鮮奶青茶(XL),2,熱/冷,青茶,鮮奶
鮮葡萄柚綠(L),1,冷,綠茶,葡萄柚汁
鮮葡萄柚綠(XL),1,冷,綠茶,葡萄柚汁